OpCode,Campaign,OLDVideoDirectory,OLDVideoSubdirectory,Vessel,Region,Fjord,Location,SetNo,RepNo,OldSetName,FieldCode,SiteID,SiteID2021,Repeat site from 2021,Reserve,Year,Unit,Camera left,Camera right,Date,Date2,Time in,Time out,Lat deg,Lat min,Long deg,Long min,Depth sounder,Depth sensor,BottomTemp,SST,Wind/sea/…/notes,Bait,Quality,QualityTag,QualityNotes,Comments,Observations,Hapuku,BlackCoral,ToAnnotate,Annotated_date,Annotator,Successful.count,Successful.length,Successful.meancount,Successful.meancount.length,Notes.Success,IDcheck,No.errors,CheckAnnoComments,CheckSpID & MaxN 19/09/2024,Depth,geometry,Name
FLD24_S01_R01_H12-01_EA01_VOID_TORCHFAIL,FLD24,01_EA_NR_140224_R,01_EA_NR_TORCHFAIL_140224_AM,Southern Winds,Fiordland,Dusky Sound,East Anchor,S01,R01,EastAnchor_NR_20240214_AM,EA01,EA01,NA,Yes,NR,2024,H12-01,H12-01L,H12-01R,2024-02-14T00:00:00Z,20240214,09:31,NA,45,45.864,166,32.443,55.5,NA,NA,15.7,"24 kt N, SS2, low incoming",1 kg crushed skipjack tuna,Bad,_VOID_TORCHFAIL,Torches failed; void deployment,Failed torch,NA,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,55.5,"c(166.540716666667, -45.7644)",DZ2
FLD24_S01_R02_H12-02_EA02,FLD24,01_EA_NR_140224_R,02_EA_NR_140224_AM,Southern Winds,Fiordland,Dusky Sound,East Anchor,S01,R02,EastAnchor_NR_20240214_AM,EA02,EA02,EA02,Yes,NR,2024,H12-02,H12-02L,H12-02R,2024-02-14T00:00:00Z,20240214,09:42,NA,45,45.665,166,32.212,18.2,23,15,15.7,"24 kt N, SS2, low incoming",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/red algae; sea cucumber; lots of blue cod, schoolie (2 different animals in video, same animal from P18.07.82-end of transect. This animal was chasing blue cod at P33.06.42)",NA,NA,Done,20240326,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,23,"c(166.536866666667, -45.7610833333333)",DZ2
FLD24_S01_R03_H12-03_EA03,FLD24,01_EA_NR_140224_R,03_EA_NR_140224_AM,Southern Winds,Fiordland,Dusky Sound,East Anchor,S01,R03,EastAnchor_NR_20240214_AM,EA03,EA03,EA03,Yes,NR,2024,H12-03,H12-03L,H12-03R,2024-02-14T00:00:00Z,20240214,09:52,NA,45,45.54,166,32.677,76.8,79,11.9,15.7,"24 kt N, SS2, low incoming",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, MaxN and AD MaxN for blue cod the same, Up to 3 hagfish present. Slime defense notes at 54:09.08. Gastropod seen at 08:43.99",NA,NA,Done,20240326,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,79,"c(166.544616666667, -45.759)",DZ2
FLD24_S01_R04_H12-04_EA08_TILTED,FLD24,01_EA_NR_140224_R,08_EA_NR_140224_AM,Southern Winds,Fiordland,Dusky Sound,East Anchor,S01,R04,EastAnchor_NR_20240214_AM,EA08,EA08,NA,No,NR,2024,H12-04,H12-04L,H12-04R,2024-02-14T00:00:00Z,20240214,10:27,NA,45,46.202,166,33.207,17.8,17,15,15.7,"24 kt N, SS4, low incoming",1 kg crushed skipjack tuna,OK,_TILTED,"Tilted upwards, but ok",Alternate location; tilted up; white board mentions EA04,"Sand/slit and algae. Unknwon small fish species at 00:03.40. BRUV was intermittedly rocking. Both juvenile and adult N.cinctus observed. Small fish darting around, unsure if goby, blenny, or triplefin. 2x J.edwardsii spotted at 19:43.65 (maxN = 2), one of these crayfish became aggressive towards an adult P.colais at 48:29.34. BRUV tilted back further to point that only could see sea surface. School of small fish observered at 41:41.17 and again at 51:37.33, suggested ID F.maryannae but needs to be checked",NA,NA,Done,20240327,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,17,"c(166.55345, -45.7700333333333)",DZ2
FLD24_S01_R05_H12-05_EA05,FLD24,01_EA_NR_140224_R,05_EA_NR_140224_AM,Southern Winds,Fiordland,Dusky Sound,East Anchor,S01,R05,EastAnchor_NR_20240214_AM,EA05,EA05,EA05,Yes,NR,2024,H12-05,H12-05L,H12-05R,2024-02-14T00:00:00Z,20240214,10:05,NA,45,45.766,166,33.788,37.4,65,12.1,15.7,"24 kt N, SS4, low incoming",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, very little until last five minutes of transect. Small fish around  @ 09:48.99 unsure of ID but look similar to sandburrower or opal fish. Blue cod chasing Tarakihi at 56:13.24.",NA,NA,Done,20240327,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,65,"c(166.563133333333, -45.7627666666667)",DZ2
FLD24_S01_R06_H12-06_EA06,FLD24,01_EA_NR_140224_R,06_EA_NR_140224_AM,Southern Winds,Fiordland,Dusky Sound,East Anchor,S01,R06,EastAnchor_NR_20240214_AM,EA06,EA06,EA06,Yes,NR,2024,H12-06,H12-06L,H12-06R,2024-02-14T00:00:00Z,20240214,10:15,NA,45,45.932,166,33.151,83.6,86,11.8,15.7,"24 kt N, SS4, low incoming",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, interstital worms, very little. Little animals dragging themselves across sediment at start of transect, species unknown. Similar silver firsh with narrow sharp head to that of EA05 appeared again, questioning a sandburrower or opal fish. Fish pelvic fins witnessed at start of the transect, likely wrasse fins. 2 sea perchs were seen @ P17:24.14. Zoo plankton continuously playing in the light. Sea perch being chased by 7gill shark @ P 32:30.48",NA,NA,Done,20240327,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,86,"c(166.552516666667, -45.7655333333333)",DZ2
FLD24_S02_R01_H12-01_LC01,FLD24,02_LC_NR_140224_R,01_LC_NR_140224_PM,Southern Winds,Fiordland,Dusky Sound,Luncheon Cove,S02,R01,LuncheonCove_NR_20240214_PM,LC01,LC01,LC01,Yes,NR,2024,H12-01,H12-01L,H12-01R,2024-02-14T00:00:00Z,20240214,14:17,NA,45,46.603,166,29.67,35.9,NA,NA,15.6,"30 kt N, SS4.5, mid-high tide",1 kg crushed skipjack tuna,Good,NA,NA,Whiteboard mentions LCO1a. No chop. Depth used = sounder,"Sand with loose brown algae; 2x gastropods sighted @ P02:29.78, 2x hermit crabs seen @ P07:48.80, 2x scarlet wrasse seen at P 41:03.49. Same school shark swam around BRUV from first appearance to end of the transect",NA,NA,Done,20240327,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,35.9,"c(166.4945, -45.7767166666667)",DZ1
FLD24_S02_R02_H12-02_LC02,FLD24,02_LC_NR_140224_R,02_LC_NR_140224_PM,Southern Winds,Fiordland,Dusky Sound,Luncheon Cove,S02,R02,LuncheonCove_NR_20240214_PM,LC02,LC02,LC02,Yes,NR,2024,H12-02,H12-02L,H12-02R,2024-02-14T00:00:00Z,20240214,14:24,NA,45,46.225,166,29.891,20,23,15,15.7,"Sheltered, SS2, mid-high tide",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/rubble, 2 separate school sharks seen in transect, 1 male and 1 female (adjust SCH maxN =2). Blue cod attacking each other @ P23:43.36. Male spotty cleaning @ P39:22.76. Juv P.colais also cleaning @ P41:55.55. Mature female M.lenticulatus spotted @ P52:31.48. J_MaxN and MaxN for P.colais the same",NA,NA,Done,20240328,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,23,"c(166.498183333333, -45.7704166666667)",DZ1
FLD24_S02_R03_H12-03_LC03,FLD24,02_LC_NR_140224_R,03_LC_NR_140224_PM,Southern Winds,Fiordland,Dusky Sound,Luncheon Cove,S02,R03,LuncheonCove_NR_20240214_PM,LC03,LC03,LC03,Yes,NR,2024,H12-03,H12-03L,H12-03R,2024-02-14T00:00:00Z,20240214,14:32,NA,45,46.513,166,30.345,29.3,34,14.2,15.7,"Sheltered, SS2, mid-high tide",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand near rocky reef; Large brittle stars moving towards bait canister at start of the transect. Juvenile blue cod attacjing each other @ 11:023.36. Mature male school shark distinguished by scar on right trunk above pelvic fins and black dot on left trunk, same individual seen throughout video. Blue cod cleaning @ 42:01.32. Possible N.macropterus @ 47:47.15 but possibly another species as black band not prominent - may be due to lights. Juvenile maxN is the same as no of juveniles in MaxN",NA,NA,Done,20240328,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,34,"c(166.50575, -45.7752166666667)",DZ1
FLD24_S02_R04_H12-04_LC04_VOID_TORCHFAIL,FLD24,02_LC_NR_140224_R,04_LC_NR_FAILTORCH_140224_PM,Southern Winds,Fiordland,Dusky Sound,Luncheon Cove,S02,R04,LuncheonCove_NR_20240214_PM,LC04,LC04,LC04,Yes,NR,2024,H12-04,H12-04L,H12-04R,2024-02-14T00:00:00Z,20240214,14:45,NA,45,46.654,166,30.875,81,81,12,15.7,"Sheltered, SS3, mid-high tide",1 kg crushed skipjack tuna,Bad,_VOID_TORCHFAIL,Torches failed; void deployment,Failed torch,X,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,81,"c(166.514583333333, -45.7775666666667)",DZ1
