SiteID,SetRep,Loc,Stratum,Depth,lat,lon,lat2,lon2
LC01,S02_R01,Luncheon Cove,DZ1,35.9,-45.77672,166.4945,-46° 13.397',166° 29.670'
LC02,S02_R02,Luncheon Cove,DZ1,23,-45.77042,166.49818,-46° 13.775',166° 29.891'
LC03,S02_R03,Luncheon Cove,DZ1,34,-45.77522,166.50575,-46° 13.487',166° 30.345'
LC08,S02_R05,Luncheon Cove,DZ1,40,-45.76553,166.52918,-46° 14.068',166° 31.751'
LC06,S02_R06,Luncheon Cove,DZ1,42,-45.77145,166.53258,-46° 13.713',166° 31.955'
AI08,S03_R02,Anchor Island,DZ1,21,-45.7387,166.52523,-46° 15.678',166° 31.514'
AI09,S03_R03,Anchor Island,DZ1,38,-45.74827,166.51807,-46° 15.104',166° 31.084'
AI10,S03_R04,Anchor Island,DZ1,28,-45.74457,166.50998,-46° 15.326',166° 30.599'
AI11,S03_R05,Anchor Island,DZ1,71,-45.74618,166.50157,-46° 15.229',166° 30.094'
AI12,S03_R06,Anchor Island,DZ1,71,-45.75023,166.50005,-46° 14.986',166° 30.003'
AI01,S04_R01,Anchor Island,DZ1,41.8,-45.75005,166.52582,-46° 14.997',166° 31.549'
AI02,S04_R02,Anchor Island,DZ1,79,-45.74478,166.51667,-46° 15.313',166° 31.000'
AI03,S04_R03,Anchor Island,DZ1,20,-45.74017,166.5253,-46° 15.590',166° 31.518'
LC04,S05_R04,Luncheon Cove,DZ1,86,-45.77767,166.51517,-46° 13.340',166° 30.910'
LC05,S05_R05,Luncheon Cove,DZ1,45,-45.77575,166.52343,-46° 13.455',166° 31.406'
LC07,S05_R06,Luncheon Cove,DZ1,30,-45.7693,166.5201,-46° 13.842',166° 31.206'
OF01,S22_R01,Outer Five Fingers,DZ1,34,-45.71893,166.48985,-46° 16.864',166° 29.391'
OF02,S22_R02,Outer Five Fingers,DZ1,44,-45.72385,166.48392,-46° 16.569',166° 29.035'
OF03,S22_R03,Outer Five Fingers,DZ1,25,-45.72788,166.47622,-46° 16.327',166° 28.573'
OF04,S22_R04,Outer Five Fingers,DZ1,34,-45.73192,166.47125,-46° 16.085',166° 28.275'
OF05,S22_R05,Outer Five Fingers,DZ1,17,-45.73392,166.46503,-46° 15.965',166° 27.902'
OF06,S22_R06,Outer Five Fingers,DZ1,31,-45.73877,166.45977,-46° 15.674',166° 27.586'
EA02,S01_R02,East Anchor,DZ2,23,-45.76108,166.53687,-46° 14.335',166° 32.212'
EA03,S01_R03,East Anchor,DZ2,79,-45.759,166.54462,-46° 14.460',166° 32.677'
EA08,S01_R04,East Anchor,DZ2,17,-45.77003,166.55345,-46° 13.798',166° 33.207'
EA05,S01_R05,East Anchor,DZ2,65,-45.76277,166.56313,-46° 14.234',166° 33.788'
EA06,S01_R06,East Anchor,DZ2,86,-45.76553,166.55252,-46° 14.068',166° 33.151'
AI07,S03_R01,Anchor Island,DZ2,49.1,-45.73245,166.52718,-46° 16.053',166° 31.631'
AI04,S04_R04,Anchor Island,DZ2,83,-45.73032,166.54012,-46° 16.181',166° 32.407'
AI05,S04_R05,Anchor Island,DZ2,54,-45.74125,166.54643,-46° 15.525',166° 32.786'
AI06,S04_R06,Anchor Island,DZ2,29,-45.74172,166.55555,-46° 15.497',166° 33.333'
EA01,S05_R01,East Anchor,DZ2,57,-45.7644,166.54092,-46° 14.136',166° 32.455'
EA04,S05_R02,East Anchor,DZ2,30,-45.75715,166.55842,-46° 14.571',166° 33.505'
EA07,S05_R03,East Anchor,DZ2,38,-45.75388,166.57173,-46° 14.767',166° 34.304'
RI01,S08_R01,Resolution Island,DZ2,19.2,-45.72102,166.58312,-46° 16.739',166° 34.987'
RI02,S08_R02,Resolution Island,DZ2,34,-45.7198,166.57327,-46° 16.812',166° 34.396'
PP02,S08_R05,Pigeon & Parrot Islands,DZ2,40,-45.71513,166.52802,-46° 17.092',166° 31.681'
PP03,S08_R06,Pigeon & Parrot Islands,DZ2,32,-45.72005,166.52675,-46° 16.797',166° 31.605'
LI02,S17_R02,Long Island,DZ2,30,-45.77093,166.60427,-46° 13.744',166° 36.256'
LI03,S17_R03,Long Island,DZ2,23,-45.7724,166.60027,-46° 13.656',166° 36.016'
LI04,S17_R04,Long Island,DZ2,25,-45.776,166.60127,-46° 13.440',166° 36.076'
PH01,S19_R01,Pickersgill Harbour,DZ2,31.5,-45.79447,166.59075,-46° 12.332',166° 35.445'
PH02,S19_R02,Pickersgill Harbour,DZ2,33,-45.79415,166.58418,-46° 12.351',166° 35.051'
PH03,S19_R03,Pickersgill Harbour,DZ2,42,-45.79445,166.59337,-46° 12.333',166° 35.602'
PH04,S19_R04,Pickersgill Harbour,DZ2,32,-45.78363,166.58302,-46° 12.982',166° 34.981'
PH05,S19_R05,Pickersgill Harbour,DZ2,81,-45.7819,166.60008,-46° 13.086',166° 36.005'
ES01,S21_R01,Earshell Cove,DZ2,31.2,-45.72475,166.58943,-46° 16.515',166° 35.366'
ES02,S21_R02,Earshell Cove,DZ2,48,-45.72678,166.58425,-46° 16.393',166° 35.055'
ES03,S21_R03,Earshell Cove,DZ2,21,-45.73117,166.57768,-46° 16.130',166° 34.661'
ES04,S21_R04,Earshell Cove,DZ2,46,-45.73853,166.57007,-46° 15.688',166° 34.204'
ES05,S21_R05,Earshell Cove,DZ2,60,-45.7432,166.57353,-46° 15.408',166° 34.412'
ES06,S21_R06,Earshell Cove,DZ2,52.7,-45.7477,166.57597,-46° 15.138',166° 34.558'
FH01,S23_R01,Fixed Head,DZ2,25,-45.7627,166.58707,-46° 14.238',166° 35.224'
FH02,S23_R02,Fixed Head,DZ2,45,-45.75477,166.60828,-46° 14.714',166° 36.497'
FH03,S23_R03,Fixed Head,DZ2,18,-45.74933,166.61433,-46° 15.040',166° 36.860'
FF01,S06_R01,Five Fingers,DR2,31.1,-45.70582,166.57105,-46° 17.651',166° 34.263'
FF02,S06_R02,Five Fingers,DR2,52,-45.70425,166.56162,-46° 17.745',166° 33.697'
FF03,S06_R03,Five Fingers,DR2,63,-45.7036,166.55117,-46° 17.784',166° 33.070'
FF04,S06_R04,Five Fingers,DR2,86,-45.70063,166.54118,-46° 17.962',166° 32.471'
FF05,S06_R05,Five Fingers,DR2,25,-45.69333,166.5438,-46° 18.400',166° 32.628'
FF06,S06_R06,Five Fingers,DR2,18,-45.69175,166.55653,-46° 18.495',166° 33.392'
FF07,S07_R01,Five Fingers,DR2,28.5,-45.68888,166.53052,-46° 18.667',166° 31.831'
FF08,S07_R02,Five Fingers,DR2,28,-45.69353,166.52395,-46° 18.388',166° 31.437'
FF09,S07_R03,Five Fingers,DR2,27,-45.69867,166.51812,-46° 18.080',166° 31.087'
FF10,S07_R04,Five Fingers,DR2,26,-45.7033,166.51045,-46° 17.802',166° 30.627'
FF11,S07_R05,Five Fingers,DR2,18,-45.70938,166.5012,-46° 17.437',166° 30.072'
FF12,S07_R06,Five Fingers,DR2,41,-45.71433,166.49787,-46° 17.140',166° 29.872'
RI03,S08_R03,Resolution Island,DR2,25,-45.71353,166.55908,-46° 17.188',166° 33.545'
PP01,S08_R04,Pigeon & Parrot Islands,DR2,39,-45.70965,166.54812,-46° 17.421',166° 32.887'
SI05,S09_R05,Shag Island,DZ3,35,-45.7429,166.768,-46° 15.426',166° 46.080'
SI06,S09_R06,Shag Island,DZ3,28,-45.74382,166.75697,-46° 15.371',166° 45.418'
SI11,S15_R05,Shag Island,DZ3,64,-45.74245,166.76345,-46° 15.453',166° 45.807'
SI12,S15_R06,Shag Island,DZ3,45,-45.74392,166.75552,-46° 15.365',166° 45.331'
II01,S16_R01,Indian Island,DZ3,28,-45.7611,166.64647,-46° 14.334',166° 38.788'
II02,S16_R02,Indian Island,DZ3,57,-45.76187,166.64055,-46° 14.288',166° 38.433'
II03,S16_R03,Indian Island,DZ3,36,-45.76823,166.63785,-46° 13.906',166° 38.271'
II04,S16_R04,Indian Island,DZ3,46,-45.76727,166.6315,-46° 13.964',166° 37.890'
II05,S16_R05,Indian Island,DZ3,28,-45.77097,166.62362,-46° 13.742',166° 37.417'
II06,S16_R06,Indian Island,DZ3,47,-45.76517,166.62413,-46° 14.090',166° 37.448'
LI01,S17_R01,Long Island,DZ3,14.2,-45.76587,166.61485,-46° 14.048',166° 36.891'
LI05,S17_R05,Long Island,DZ3,38,-45.77637,166.60872,-46° 13.418',166° 36.523'
LI06,S17_R06,Long Island,DZ3,69,-45.77782,166.61285,-46° 13.331',166° 36.771'
CL01,S18_R01,Curlew Island,DZ3,38.7,-45.78558,166.60752,-46° 12.865',166° 36.451'
CL02,S18_R02,Curlew Island,DZ3,42,-45.78937,166.60877,-46° 12.638',166° 36.526'
CL03,S18_R03,Curlew Island,DZ3,38,-45.79812,166.61197,-46° 12.113',166° 36.718'
CL04,S18_R04,Curlew Island,DZ3,21,-45.80265,166.59883,-46° 11.841',166° 35.930'
CL05,S18_R05,Curlew Island,DZ3,33,-45.80528,166.58813,-46° 11.683',166° 35.288'
CL06,S18_R06,Curlew Island,DZ3,68,-45.79398,166.59897,-46° 12.361',166° 35.938'
PH06,S19_R06,Pickersgill Harbour,DZ3,79,-45.79087,166.60207,-46° 12.548',166° 36.124'
DC01,S20_R01,Duck Cove,DZ3,25,-45.74697,166.65667,-46° 15.182',166° 39.400'
DC02,S23_R04,Duck Cove,DZ3,46,-45.74255,166.65313,-46° 15.447',166° 39.188'
DC03,S23_R05,Duck Cove,DZ3,17,-45.74692,166.65205,-46° 15.185',166° 39.123'
DC04,S23_R06,Duck Cove,DZ3,45,-45.7488,166.65803,-46° 15.072',166° 39.482'
BW01,S24_R01,Bowen Channel,DZ3,32.8,-45.73972,166.6971,-46° 15.617',166° 41.826'
BW02,S24_R02,Bowen Channel,DZ3,53,-45.73017,166.70907,-46° 16.190',166° 42.544'
BW03,S24_R03,Bowen Channel,DZ3,36,-45.72955,166.7153,-46° 16.227',166° 42.918'
BW04,S24_R04,Bowen Channel,DZ3,20,-45.72763,166.72627,-46° 16.342',166° 43.576'
BW05,S24_R05,Bowen Channel,DZ3,51,-45.7361,166.72387,-46° 15.834',166° 43.432'
BW06,S24_R06,Bowen Channel,DZ3,22,-45.74022,166.7223,-46° 15.587',166° 43.338'
SI01,S09_R01,Shag Island,DZ4,49.6,-45.74372,166.788,-46° 15.377',166° 47.280'
SI02,S09_R02,Shag Island,DZ4,29,-45.73778,166.78697,-46° 15.733',166° 47.218'
SI03,S09_R03,Shag Island,DZ4,24,-45.73197,166.78698,-46° 16.082',166° 47.219'
SI04,S09_R04,Shag Island,DZ4,36,-45.73337,166.7697,-46° 15.998',166° 46.182'
EC01,S10_R01,East Cooper Island,DZ4,36.4,-45.73463,166.92113,-46° 15.922',166° 55.268'
EC03,S10_R03,East Cooper Island,DZ4,30,-45.73527,166.89883,-46° 15.884',166° 53.930'
EC04,S10_R04,East Cooper Island,DZ4,28,-45.737,166.88595,-46° 15.780',166° 53.157'
EC05,S10_R05,East Cooper Island,DZ4,70,-45.72872,166.88177,-46° 16.277',166° 52.906'
EC06,S10_R06,East Cooper Island,DZ4,58,-45.72575,166.89937,-46° 16.455',166° 53.962'
SC01,S11_R01,Supper Cove,DZ4,25.4,-45.70307,166.95337,-46° 17.816',166° 57.202'
SC02,S11_R02,Supper Cove,DZ4,55,-45.707,166.9553,-46° 17.580',166° 57.318'
SC03,S11_R03,Supper Cove,DZ4,64,-45.71162,166.9528,-46° 17.303',166° 57.168'
SC04,S11_R04,Supper Cove,DZ4,65,-45.70937,166.94795,-46° 17.438',166° 56.877'
SC05,S11_R05,Supper Cove,DZ4,54,-45.70732,166.94353,-46° 17.561',166° 56.612'
SC06,S11_R06,Supper Cove,DZ4,23,-45.70253,166.94622,-46° 17.848',166° 56.773'
SH01,S12_R01,Shark Cove,DZ4,71.4,-45.72023,166.96598,-46° 16.786',166° 57.959'
SH02,S12_R02,Shark Cove,DZ4,51,-45.71955,166.9714,-46° 16.827',166° 58.284'
SH03,S12_R03,Shark Cove,DZ4,28,-45.71705,166.97612,-46° 16.977',166° 58.567'
SH04,S12_R04,Shark Cove,DZ4,33,-45.72855,166.95083,-46° 16.287',166° 57.050'
SH05,S12_R05,Shark Cove,DZ4,51,-45.7315,166.9468,-46° 16.110',166° 56.808'
SH06,S12_R06,Shark Cove,DZ4,32,-45.72108,166.94837,-46° 16.735',166° 56.902'
FB01,S13_R01,Cooper Island,DZ4,27,-45.73793,166.88135,-46° 15.724',166° 52.881'
FB02,S13_R02,Cooper Island,DZ4,45,-45.74085,166.87788,-46° 15.549',166° 52.673'
FB03,S13_R03,Cooper Island,DZ4,52,-45.74118,166.86913,-46° 15.529',166° 52.148'
FB04,S13_R04,Cooper Island,DZ4,27,-45.75247,166.86262,-46° 14.852',166° 51.757'
FB05,S13_R05,Fanny Bay,DZ4,62,-45.76213,166.83472,-46° 14.272',166° 50.083'
FB06,S13_R06,Fanny Bay,DZ4,71,-45.77178,166.8419,-46° 13.693',166° 50.514'
NC01,S14_R01,North Cooper Island,DZ4,55,-45.71055,166.84245,-46° 17.367',166° 50.547'
NC02,S14_R02,North Cooper Island,DZ4,32,-45.70575,166.82882,-46° 17.655',166° 49.729'
NC03,S14_R03,North Cooper Island,DZ4,85,-45.71613,166.79938,-46° 17.032',166° 47.963'
NC04,S14_R04,North Cooper Island,DZ4,18,-45.71837,166.78253,-46° 16.898',166° 46.952'
NC05,S14_R05,North Cooper Island,DZ4,28,-45.72338,166.76067,-46° 16.597',166° 45.640'
NC06,S14_R06,North Cooper Island,DZ4,18,-45.72658,166.79873,-46° 16.405',166° 47.924'
SI07,S15_R01,Shag Island,DZ4,42.1,-45.72988,166.7899,-46° 16.207',166° 47.394'
SI08,S15_R02,Shag Island,DZ4,36,-45.73352,166.78115,-46° 15.989',166° 46.869'
SI09,S15_R03,Shag Island,DZ4,46,-45.73128,166.77728,-46° 16.123',166° 46.637'
SI10,S15_R04,Shag Island,DZ4,15,-45.73295,166.7671,-46° 16.023',166° 46.026'
